text,size,topic
@alice1salvatore,2,0
@alinomilan,1,0
@allenatorebis,1,0
@alloracrealo,1,0
@ally_cu,2,0
@altraeuropa,1,0
@amico_spritz,1,0
@amingardi,1,0
@amorucci2911,2,0
@an_zl,7,0
@anarkikka,1,0
@anderboz,1,0
@andmonda,1,0
@andrea14_11,3,0
@andrea_gazza,3,0
@andreafoxvolpi,1,0
@andreamancia,1,0
@andreamarcucci,1,0
@andreamartella,1,0
@andreaoggioni,1,0
@andreaorlandosp,1,0
@andrearomano9,4,0
@andreascanzi,25,0
@andreastroscio,1,0
@andredemarini,1,0
@andreozzifranc,1,0
@anfameee,1,0
@anfiorenzano,1,0
@angealfa,7,0
@angelerrimo,1,0
@angelotofalo,5,0
@angiecalabria,1,0
@aniluzmedina,2,0
@animalisti_fvg,1,0
@anna_gigante,1,0
@annagiacobbe3,4,0
@annietayler3,2,0
@annipitea,2,0
@ansa_it,1,0
@antimafia2000,1,0
@antodimario,1,0
@antonio_tajani,1,0
@antonioairoli,1,0
@antonioarioli,1,0
@antoniocancian,1,0
@antoniopalmieri,1,0
@aps_lunaria,1,0
@aqntonio,1,0
@ariachetira,1,0
@ariano_giovanni,1,0
@arielapaganoni,1,0
@armafan,1,0
@artedaparte,1,0
@artventuno,2,0
@asinomorto,1,0
@ass_21_luglio,1,0
@assorinnovabili,1,0
@astro_luca,1,0
@atlasbenessere,1,0
@avvpiromalli,1,0
@ayeeetabarez,1,0
@azzurralib,1,0
@baraldi_paola,5,0
@barbara_tomio,2,0
@barbaragamb,1,0
@batbea,2,0
@bellomodvd,3,0
@beppe_grillo,48,0
@beppecarucci,1,0
@beppegrillonews,1,0
@bergamonews,1,0
@berniniam,2,0
@berserknina,5,0
@betta722,1,0
@bezzicante,2,0
@bezzoneclaudio,1,0
@biancolavoro,1,0
@bindurlve,1,0
@blitzquotidiano,1,0
@blogdiattualita,1,0
@blondefairlady,1,0
@bobnaccarella,1,0
@bodem_it,1,0
@bollettinoadapt,1,0
@borionistef,1,0
@bottegaeb,1,0
@bovinelli,2,0
@bpm_roma,4,0
@bragachiara,1,0
@brescia5stelle,2,0
@brisaruizz,1,0
@brunap5656,1,0
@brunovespa,7,0
@bsaltamartini,1,0
@bscoglio,1,0
@buamauro,1,0
@bufalinicarla,1,0
@bukaniere,1,0
@bvito5s,4,0
@c,1,0
@canemajico,679,0
@capezzone,1,0
@carlabassu,1,0
@carlabruzzi1,3,0
@carlaruocco1,76,0
@carlez94,1,0
@carlo_pistarino,1,0
@carlosibilia,1,0
@carlucci_cc,17,0
@carmelalorito,1,0
@carmelitadurso,1,0
@carmelo_1970,8,0
@carmentpf,1,0
@casalettori,3,0
@cate69,1,0
@ceobru,1,0
@cercaimpresa,1,0
@cercinico,2,0
@cervello_bonsai,2,0
@cfenudi,1,0
@cgilvarese,1,0
@che_fidel2,1,0
@chiara_dibe,1,0
@chicoalemanni,1,0
@chinonmuore1,1,0
@christianraimo,1,0
@chryduca,3,0
@cimbroeleonora,1,0
@cinziamitika,2,0
@circolocopernic,2,0
@circololettori,1,0
@cislnazio,1,0
@cislnazionale,6,0
@clapr71,1,0
@clashcityworker,1,0
@claudiac1979,1,0
@claudio_dcst,1,0
@claudiocerasa,2,0
@cocapeps,2,0
@colvieux,2,0
@comilara,1,0
@confagricoltura,1,0
@confiom,1,0
@confprofessioni,1,0
@coordlottacasa,1,0
@corradinomineo,1,0
@corradoaugias,1,0
@corriereit,1,0
@cozzolino62,1,0
@cppilosio,1,0
@cremoninicesare,4,0
@crimaxim,1,0
@crisidicoscienz,1,0
@cristinareggini,2,0
@criticocinema,5,0
@crowdknitting,2,0
@csilvagni,6,0
@cuperlonews,1,0
@danielag1981,10,0
@danielecina,1,0
@danieleguargua,1,0
@danielekeshk,1,0
@danilo_rossetto,1,0
@danilosindoni,1,0
@danilotoninelli,1,0
@darknight_87,1,0
@darlinmagazine,1,0
@davellaritavitt,1,0
@davide79torino,1,0
@davidefaraone,1,0
@ddlovato,1,0
@debba_89,1,0
@deborahbergamin,1,0
@dellimellow,1,0
@demagistris,1,0
@denvergo7,2,0
@deputatipd,5,0
@diegozardini,1,0
@dileguossi,1,0
@dimitribuffa,1,0
@dinamopress,6,0
@diodatopirone,1,0
@direlaviolenza,2,0
@diritto2punto0,1,0
@discordoconme,1,0
@djmaisappeal,1,0
@dlavolo,5,0
@dmrandyrhoads,1,0
@dolcepoppycorny,1,0
@domy100ducati,1,0
@donatobuc,1,0
@dstvoid,2,0
@dudecompany,1,0
@eatalyroma,2,0
@ebic960,1,0
@eco_magazin,1,0
@ecostagli,5,0
@edmondocirielli,1,0
@edoardo,1,0
@edosala8,4,0
@egardini,1,0
@electio2014,1,0
@elenabi,9,0
@elepinti,2,0
@elezionilazio,1,0
@elio_vito,3,0
@eliomarco25,1,0
@elisacalessi,1,0
@elisapistolesi,1,0
@elisaredd,2,0
@elly444,1,0
@elpme10,1,0
@elsafornero,1,0
@emanuelapatti,3,0
@emanuelede_sena,2,0
@emanuelefiano,1,0
@emergency_ong,3,0
@emmapetitti,1,0
@enrimav,1,0
@enzoa24,1,0
@enzokas,1,0
@ermannokilgore,2,0
@estrolucente,2,0
@ethilia1,3,0
@ettore_rosato,1,0
@eugcipolla,9,0
@eutopiamag,1,0
@ezekiel,1,0
@f_boccia,1,0
@f_giorgiolapira,1,0
@fabribert,2,0
@fannystravato,2,0
@fanpage,9,0
@fattivostri,1,0
@fatto,1,0
@fattoqu,1,0
@fattoquotidiano,6,0
@fedebridge,1,0
@fedeleamico,2,0
@fedemello,5,0
@federicogelli,1,0
@federicosbandi,1,0
@feralnigi,1,0
@ferdi_uliano,4,0
@ferri_romeo,1,0
@fiandaca,1,0
@fiba_cisl_e_r,1,0
@filcacisl,1,0
@fimcislstampa,5,0
@fiorenzatarenzi,2,0
@flaviozanonato,1,0
@fnicodemo,5,0
@fo,1,0
@formichenews,6,0
@forza_italia,22,0
@forzaitalia,1,0
@forzaltaiia,9,0
@forzasilvioit,1,0
@fra_bianchi,1,0
@fraan_83,3,0
@fralarosa,3,0
@francesca_brogi,1,0
@francescacose,2,0
@francesco201423,1,0
@francescocosta,1,0
@francescolamana,10,0
@francescorusso,1,0
@francetomm,11,0
@francobechis,1,0
@frandelucia,6,0
@fratelliditaiia,4,0
@fusacchia,1,0
@g_minervini,1,0
@gabpugliese,1,0
@gabriela_gajo,1,0
