TimeWindows,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4
2014-05-21 00:00:00/2014-05-24 00:00:00,23.71873312938636,8.674644592405974,15.317617419470938,37.52474356667267,14.764261292064063
2014-05-22 00:00:00/2014-05-25 00:00:00,23.88847652625719,8.753943217665615,15.473186119873818,38.36426053071071,13.52013360549267
2014-05-23 00:00:00/2014-05-26 00:00:00,24.91383505495994,8.542244653258214,13.438219608984232,39.905782959659255,13.19991772313836
2014-05-24 00:00:00/2014-05-27 00:00:00,21.38528322312909,7.854042178329212,13.308002278379803,42.69591766699568,14.756754653166205
2014-05-25 00:00:00/2014-05-28 00:00:00,20.38312002414958,7.765327165006383,13.277178281379,43.75947889275621,14.814895636708819
2014-05-26 00:00:00/2014-05-29 00:00:00,17.257698101691958,7.596138476219077,14.692875168929556,44.41769558288568,16.035592670273726
2014-05-27 00:00:00/2014-05-30 00:00:00,15.27339128166429,8.775166065755517,15.717786038365148,45.75495868153572,14.478697932679317
2014-05-28 00:00:00/2014-05-31 00:00:00,15.00765874489417,8.674108800594134,16.256266245822502,44.91157630894913,15.150389899740066
2014-05-19 00:00:00/2014-05-23 00:00:00,19.592889644123925,7.361153052815838,14.644507797744872,29.950301212527574,28.45114829278779
2014-05-20 00:00:00/2014-05-24 00:00:00,21.35342723196503,8.393169027750824,16.506991328505624,35.97444513671137,17.771967275067155
2014-05-21 00:00:00/2014-05-25 00:00:00,23.560340181658056,8.83841371242294,15.212876427829698,38.42488531356389,13.963484364525415
2014-05-22 00:00:00/2014-05-26 00:00:00,24.91383505495994,8.542244653258214,13.438219608984232,39.905782959659255,13.19991772313836
2014-05-23 00:00:00/2014-05-27 00:00:00,21.952475938904993,7.963986343200076,13.785583662208841,41.57482478257012,14.723129273115966
2014-05-24 00:00:00/2014-05-28 00:00:00,20.739824095554283,7.962223903129124,13.491598806204445,43.38364449452,14.42270870059215
2014-05-25 00:00:00/2014-05-29 00:00:00,19.980603636314825,7.8102243669335625,13.571414189547442,43.589132667100685,15.048625140103493
2014-05-26 00:00:00/2014-05-30 00:00:00,16.874681956081776,7.8544708720327225,14.860177211157854,44.61005387809644,15.800616082631208
2014-05-27 00:00:00/2014-05-31 00:00:00,15.078753996284084,8.731566878127982,15.919856719615687,46.112515273755925,14.157307132216326
