TimeWindows,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Cluster10,Cluster11,Cluster12,Cluster13,Cluster14,Cluster15,Cluster16,Cluster17,Cluster18,Cluster19
2014-05-19 00:00:00/2014-05-25 00:00:00,1.6568476987309604,1.3723451656022576,5.59796689605096,2.093172929352938,9.145997326600327,1.5621235374688518,17.123950030529564,15.544663927257126,7.9195339703285645,1.862798488374012,3.280030364539499,0.94196082314306,6.71518391999604,8.442992227337987,9.675396471772531,2.3377394920540624,0.8109312342195159,2.0647886859085434,0.6894730762248956,1.1621037345083092
2014-05-20 00:00:00/2014-05-26 00:00:00,1.7918569683157275,1.467976002949358,5.544062131520656,2.038347750047988,8.972995700883892,2.2068389766214613,10.035130268397687,16.42530476193378,9.410829141365053,2.173628228526509,3.163247584603619,1.2074696761495032,9.444953946747022,7.734448076975811,9.860545326577434,2.3671036876117815,0.7994954403775666,2.8354057043268424,0.9844396981173467,1.5359209279509578
2014-05-21 00:00:00/2014-05-27 00:00:00,1.5374219476382334,1.5308170284976859,5.352016786656031,1.9997662874765654,7.680758854402179,2.3607505220426477,9.367045518054292,15.309186426383096,11.590108879551678,2.1819096345447435,2.7433277614912894,1.2125107329936033,10.958831030926264,5.37360979153859,10.919201516082978,2.5637247679387065,0.6752259644452122,2.7062386001635987,1.898660217555875,2.038887731616732
2014-05-22 00:00:00/2014-05-28 00:00:00,1.5258995175041952,1.4945346764455272,5.3605127106018395,1.9637004239481017,7.495674265670659,2.355238189830473,9.23877530750613,14.741998044924909,11.967255105934752,2.21827838387429,2.618180107372306,1.209114622811649,11.102630987417472,5.148015912429364,11.441632644526575,2.574269329890171,0.6649346304437603,2.6328170331996845,2.0664202784152392,2.1801178272529107
2014-05-23 00:00:00/2014-05-29 00:00:00,1.524579655835511,1.555889749026182,5.428726394162023,2.0097628322074845,7.732606873428331,2.3026477984320297,9.502983087618952,14.631428430550761,11.8389132685765,2.219072037867955,2.710172082244465,1.177210196735861,10.699423105369558,5.174301069966964,11.500172575316798,2.563976135299048,0.6851240076919284,2.5348848676100784,2.0435382870667125,2.1645875449928504
2014-05-24 00:00:00/2014-05-30 00:00:00,1.4502084001282463,1.7179865341455596,5.596152613016993,1.9829432510420009,8.448348829753126,2.3086886822699584,9.894453350432832,13.519717858287914,12.26957358127605,2.234305867265149,2.867072779737095,1.1434434113497918,10.181724911830715,4.655081756973389,11.642962487976916,2.5572298813722347,0.7681949342738058,2.2650849631292083,2.192241102917602,2.304584802821417
2014-05-25 00:00:00/2014-05-31 00:00:00,1.5073831861127962,1.6791173969525488,5.552831814039549,1.9475213490553236,8.552086709157035,2.3400171180229514,10.087168961534308,12.970364769003638,12.462363893713144,2.230328815615626,2.9308382014442294,1.109347603892273,9.896599385634712,4.4520709206892635,11.949100195832399,2.6186697246435826,0.7935782484772439,2.1677289258579093,2.3239516595895555,2.4289311207319204
2014-05-19 00:00:00/2014-05-26 00:00:00,1.6209858737227925,1.3642136000588068,5.336199314091044,2.0050036373959794,8.258789951154968,2.0029758208221278,14.974411489608709,15.672233868085463,9.454694775584075,2.0293374362822014,3.004717208304923,1.0896979313736177,8.359420348632366,7.458816312770429,9.45722954630139,2.2485951033299285,0.7477573616078558,2.5725388010027554,0.9173335225962136,1.425048097274361
2014-05-20 00:00:00/2014-05-27 00:00:00,1.6553342031312726,1.4656931620500468,5.469272715107722,1.979417569918373,8.042703733440385,2.2503930817610063,10.304596547571256,15.037050046835274,10.658997390606183,2.1489863508631073,2.9186320754716983,1.1690000669075338,9.977795062224006,6.630118426334805,10.95506322761943,2.547713435032785,0.719674160310451,2.5077780008028903,1.6774973236986486,1.8842834203131273
2014-05-21 00:00:00/2014-05-28 00:00:00,1.564637322690052,1.5166207581464202,5.467564225082916,1.9956152678621621,8.019234733074747,2.305732006670789,9.270241909794443,14.997095583412971,11.598225495156184,2.1808889388573465,2.7849607435306463,1.1987745235819889,10.792015665111398,5.342018475837128,11.103069312496487,2.558931549459404,0.6977626623194109,2.5933629396443494,1.9328423932392678,2.0804054940318926
2014-05-22 00:00:00/2014-05-29 00:00:00,1.524579655835511,1.555889749026182,5.428726394162023,2.0097628322074845,7.732606873428331,2.3026477984320297,9.502983087618952,14.631428430550761,11.8389132685765,2.219072037867955,2.710172082244465,1.177210196735861,10.699423105369558,5.174301069966964,11.500172575316798,2.563976135299048,0.6851240076919284,2.5348848676100784,2.0435382870667125,2.1645875449928504
2014-05-23 00:00:00/2014-05-30 00:00:00,1.5004610232745574,1.6574936540858052,5.573891846786964,2.0335397169908433,8.556635778472295,2.2034941402956245,9.741936472963888,14.340780520069297,11.511565004281714,2.189477280641622,2.941350393019604,1.1139023156290175,9.959416811033021,5.122505163241662,11.648448399340332,2.610202083693793,0.786477234648801,2.3664401337734047,1.984699721633928,2.1572823061238346
2014-05-24 00:00:00/2014-05-31 00:00:00,1.5034227493433099,1.7524178142163498,5.620671814057152,1.9892243094802198,8.83870293719653,2.2782675316405316,9.85358791689883,13.42110761760726,12.129616731672373,2.2449355249542307,2.9257541988378573,1.1405018705723156,9.984179734139936,4.65279988856165,11.609985672212051,2.5665645148451803,0.791262039321818,2.220060893098782,2.159366791371488,2.3175694499721406
2014-05-19 00:00:00/2014-05-27 00:00:00,1.5481712445232823,1.3908016849744207,5.327795100059128,1.9624369695433896,7.638575190330862,2.0974038613385044,13.849990267693517,14.66052613216105,10.538802522320035,2.047456929953101,2.8335702140005656,1.088365670298837,9.126516311712923,6.564899793968908,10.529621101109484,2.439870872492095,0.6919119024272006,2.3572380815971266,1.5444986760390615,1.7615474734565113
2014-05-20 00:00:00/2014-05-28 00:00:00,1.6703742654849265,1.458083282182805,5.5580750720342795,1.9772774365570547,8.301633037637666,2.211657628987298,10.162795516476987,14.794296683490956,10.726363568834277,2.1502769947728724,2.9419698883028844,1.1603676582701608,9.90241652038267,6.521985604872919,11.106180678001884,2.5447550834502954,0.7355902119391198,2.4264898487377873,1.7204170755450954,1.928993944038064
